,0,1
264,0,GarageType_NoGarage
265,0,GarageFinish_Fin
266,0,GarageFinish_NoGarage
267,0.005885631,GarageFinish_RFn
268,0,GarageFinish_Unf
269,0,GarageQual_Ex
270,0,GarageQual_Fa
271,0,GarageQual_Gd
272,0,GarageQual_NoGarage
273,0,GarageQual_Po
274,0,GarageQual_TA
275,0,GarageCond_Ex
276,0,GarageCond_Fa
277,0,GarageCond_Gd
278,0,GarageCond_NoGarage
279,0,GarageCond_Po
280,0.00522754,GarageCond_TA
281,-0.003740427,PavedDrive_N
282,0,PavedDrive_P
283,0,PavedDrive_Y
284,0,PoolQC_Ex
285,0,PoolQC_Fa
286,0,PoolQC_Gd
287,0,PoolQC_NoPool
288,0,Fence_GdPrv
289,-0.022571223,Fence_GdWo
290,0,Fence_MnPrv
291,0,Fence_MnWw
292,0.004325564,Fence_NoFence
293,0,MiscFeature_Gar2
294,0,MiscFeature_None
295,0,MiscFeature_Othr
296,0,MiscFeature_Shed
297,0,MiscFeature_TenC
298,0,SaleType_COD
299,0,SaleType_CWD
300,0,SaleType_Con
301,0,SaleType_ConLD
302,0,SaleType_ConLI
303,0,SaleType_ConLw
304,0,SaleType_New
305,0,SaleType_Oth
306,-0.007134775,SaleType_WD
307,-0.043819029,SaleCondition_Abnorml
308,0,SaleCondition_AdjLand
309,0,SaleCondition_Alloca
310,0,SaleCondition_Family
311,0,SaleCondition_Normal
312,0.016461791,SaleCondition_Partial
